LGA_CODE_2011,sub_region_2,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
10110,Armidale Dumaresq,12.0,,,,1.0,
10250,Ballina,2.0,22.0,-13.0,1.0,11.0,1.0
10350,Bankstown,-4.0,15.0,39.0,-21.0,-8.0,3.0
10470,Bathurst,9.0,13.0,,,3.0,1.0
20910,Bayside,-12.0,7.0,-10.0,-44.0,-19.0,6.0
10550,Bega Valley,-1.0,,-3.0,,9.0,0.0
10600,Bellingen,,,,,13.0,
10900,Blue Mountains,4.0,-9.0,7.0,-30.0,-1.0,2.0
11250,Broken Hill,,,,,11.0,
11300,Burwood,-14.0,40.0,,-26.0,-16.0,7.0
11350,Byron,-25.0,-37.0,-48.0,,-13.0,2.0
11400,Cabonne,,,,,-5.0,
11450,Camden,7.0,40.0,38.0,-20.0,0.0,2.0
11500,Campbelltown,11.0,4.0,50.0,-11.0,7.0,3.0
11550,Canterbury,0.0,17.0,15.0,-18.0,-11.0,5.0
11720,Cessnock,13.0,11.0,18.0,-23.0,10.0,0.0
10050,Albury,-9.0,3.0,-12.0,-23.0,2.0,1.0
10750,Blacktown,-10.0,24.0,27.0,-14.0,-9.0,4.0
11520,Canada Bay,-9.0,3.0,34.0,-26.0,-19.0,6.0
14650,Lake Macquarie,2.0,14.0,-9.0,-28.0,1.0,1.0
14900,Liverpool,8.0,27.0,20.0,-3.0,4.0,2.0
16250,Parramatta,-13.0,-8.0,10.0,-18.0,-23.0,7.0
16700,Ryde,-9.0,-3.0,24.0,-12.0,-5.0,7.0
16950,Shoalhaven,-3.0,-1.0,-20.0,-16.0,12.0,0.0
18250,Willoughby,-15.0,6.0,29.0,-21.0,-18.0,8.0
11730,Clarence Valley,-15.0,13.0,-18.0,-11.0,11.0,1.0
11800,Coffs Harbour,-11.0,-22.0,-28.0,-26.0,2.0,0.0
12050,Cooma-Monaro,,,,,17.0,
12300,Corowa,,,,,4.0,
15950,Sydney,-28.0,-26.0,-25.0,-32.0,-20.0,8.0
12350,Cowra,,,,,11.0,
,Cumberland,-9.0,-5.0,11.0,-19.0,-17.0,4.0
12600,Dubbo,7.0,11.0,,,7.0,0.0
12750,Eurobodalla,4.0,4.0,-4.0,,11.0,2.0
12850,Fairfield,-4.0,24.0,45.0,-12.0,-1.0,2.0
13310,Goulburn Mulwaree,-10.0,-7.0,,,9.0,0.0
13450,Griffith,-2.0,3.0,,,9.0,2.0
13550,Gunnedah,,,,,1.0,
13800,Hawkesbury,2.0,-5.0,,-18.0,-3.0,2.0
14150,Hurstville,-22.0,15.0,50.0,-9.0,-15.0,6.0
,Inner West,-5.0,-8.0,14.0,-25.0,-27.0,7.0
14200,Inverell,,,,,32.0,
14350,Kempsey,-3.0,,-16.0,,6.0,
14450,Kogarah,,,,-22.0,-13.0,5.0
14500,Ku-ring-gai,1.0,16.0,31.0,-6.0,-8.0,7.0
14700,Lane Cove,4.0,14.0,,-23.0,-21.0,7.0
14750,Leeton,,,,,6.0,
14850,Lismore,-1.0,23.0,-10.0,,11.0,0.0
14870,Lithgow,4.0,,,,6.0,
15050,Maitland,5.0,19.0,8.0,-35.0,1.0,1.0
15270,Mid-Western,0.0,,,,5.0,
,MidCoast,-2.0,-6.0,-33.0,-14.0,13.0,1.0
15350,Mosman,-8.0,,-37.0,-26.0,-13.0,
15650,Muswellbrook,,,,,6.0,
15700,Nambucca,,,-34.0,,17.0,
15900,Newcastle,-9.0,7.0,-5.0,-23.0,-3.0,2.0
15950,North Sydney,-14.0,-15.0,-35.0,-37.0,-28.0,8.0
,Northern Beaches,-9.0,8.0,-28.0,-34.0,-13.0,5.0
16150,Orange,4.0,2.0,,,5.0,0.0
16180,Palerang,,,,,-3.0,
16200,Parkes,,,,,1.0,
16350,Penrith,0.0,19.0,65.0,-1.0,-3.0,2.0
16380,Port Macquarie-Hastings,-3.0,1.0,-28.0,-35.0,8.0,0.0
16400,Port Stephens,-8.0,-8.0,-46.0,-12.0,7.0,2.0
16470,Queanbeyan,10.0,-2.0,,,5.0,1.0
16550,Randwick,-8.0,-3.0,-12.0,-7.0,-14.0,6.0
16610,Richmond Valley,,,,,2.0,
16900,Shellharbour,0.0,-1.0,2.0,-13.0,4.0,1.0
17000,Singleton,0.0,,,,14.0,
17100,Strathfield,1.0,13.0,14.0,-5.0,-24.0,7.0
17150,Sutherland,-9.0,9.0,-23.0,-18.0,-13.0,4.0
17310,Tamworth,4.0,19.0,-5.0,-1.0,6.0,1.0
14100,Hunters Hill,,,,,-6.0,
14400,Kiama,-16.0,,-25.0,-11.0,-1.0,
14000,Hornsby,-1.0,-3.0,39.0,-16.0,-12.0,7.0
17420,Hills,2.0,3.0,62.0,-13.0,-3.0,5.0
17500,Tumut,,,,,6.0,
17550,Tweed,-11.0,3.0,-22.0,-2.0,-1.0,2.0
17750,Wagga Wagga,-1.0,13.0,-13.0,-9.0,8.0,0.0
18050,Waverley,-28.0,-7.0,-48.0,-33.0,-26.0,6.0
18350,Wingecarribee,13.0,-14.0,,-15.0,13.0,0.0
18400,Wollondilly,16.0,,,-13.0,-1.0,2.0
18450,Wollongong,-4.0,-2.0,-35.0,-27.0,-4.0,2.0
18500,Woollahra,2.0,2.0,-29.0,-18.0,-24.0,7.0
18550,Wyong,-4.0,6.0,-12.0,-24.0,-2.0,1.0
18710,Yass Valley,,,,,-2.0,
18750,Young,,,,,18.0,
70200,Alice Springs,31.0,,,-57.0,11.0,0.0
71000,Darwin,13.0,7.0,67.0,-5.0,15.0,-1.0
72200,Katherine,,,,,11.0,
72300,Litchfield,,,,,10.0,
72800,Palmerston,11.0,,,-46.0,13.0,-1.0
30370,Banana,,,,,0.0,
31000,Brisbane,-8.0,2.0,-13.0,-26.0,-9.0,3.0
31820,Bundaberg,-1.0,8.0,6.0,-16.0,12.0,1.0
31900,Burdekin,,,,,7.0,
32070,Cairns,7.0,21.0,-24.0,-33.0,10.0,1.0
32260,Cassowary Coast,,0.0,-16.0,,17.0,2.0
32270,Central Highlands,,,,,-4.0,1.0
33430,Gold Coast,-12.0,4.0,-20.0,-28.0,-2.0,1.0
33960,Ipswich,0.0,7.0,34.0,-5.0,0.0,0.0
,Douglas,,,12.0,,14.0,
33220,Fraser Coast,-3.0,-1.0,-14.0,-40.0,7.0,1.0
33360,Gladstone,19.0,8.0,12.0,-8.0,7.0,1.0
33620,Gympie,8.0,31.0,34.0,,9.0,0.0
33980,Isaac,,,5.0,,-7.0,
,Livingstone,11.0,,,,4.0,0.0
34580,Lockyer Valley,25.0,0.0,,,3.0,1.0
34590,Logan,9.0,10.0,14.0,-8.0,4.0,0.0
34770,Mackay,3.0,21.0,5.0,14.0,13.0,1.0
34860,Maranoa,,,,,1.0,
,Mareeba,,,18.0,,2.0,
35010,Moreton Bay,-1.0,19.0,-1.0,-16.0,-3.0,1.0
35300,Mount Isa,12.0,,,,-9.0,
,Noosa,-1.0,-17.0,-32.0,16.0,2.0,1.0
36250,Redland,-7.0,14.0,-17.0,-20.0,-3.0,2.0
36360,Rockhampton,4.0,-5.0,,-23.0,3.0,1.0
36510,Scenic Rim,15.0,,11.0,,6.0,1.0
36580,Somerset,,,,,11.0,0.0
36630,South Burnett,23.0,,,,4.0,0.0
36660,Southern Downs,12.0,-12.0,,,13.0,1.0
36710,Sunshine Coast,-5.0,1.0,-5.0,-23.0,0.0,1.0
36810,Tablelands,14.0,,12.0,,11.0,
36910,Toowoomba,-1.0,5.0,-12.0,-52.0,6.0,1.0
37010,Townsville,8.0,11.0,-19.0,4.0,5.0,0.0
37310,Western Downs,8.0,,,,9.0,-3.0
37340,Whitsunday,5.0,12.0,-17.0,-13.0,4.0,1.0
40070,Adelaide,-10.0,4.0,-22.0,-3.0,5.0,6.0
40120,Adelaide Hills,21.0,,-14.0,,-4.0,1.0
40220,Alexandrina,,,-8.0,,11.0,
40700,Burnside,0.0,12.0,,,7.0,2.0
41060,Charles Sturt,-3.0,13.0,-34.0,12.0,-7.0,2.0
42600,Holdfast Bay,-16.0,-3.0,-28.0,-22.0,-6.0,2.0
44060,Marion,-4.0,14.0,6.0,-3.0,4.0,2.0
44340,Mitcham,4.0,-1.0,-12.0,34.0,-1.0,2.0
44620,Mount Gambier,7.0,16.0,-24.0,,3.0,0.0
45340,Onkaparinga,3.0,18.0,-3.0,13.0,-4.0,2.0
45680,Playford,5.0,46.0,27.0,-21.0,9.0,1.0
45890,Port Adelaide Enfield,4.0,23.0,-21.0,-3.0,-3.0,2.0
46300,Port Lincoln,,,,,5.0,
46510,Prospect,-4.0,26.0,,,3.0,
47140,Salisbury,15.0,31.0,-12.0,-30.0,5.0,1.0
47700,Tea Tree Gully,-1.0,7.0,-16.0,-1.0,3.0,2.0
47980,Unley,-2.0,,,-9.0,2.0,2.0
48050,Victor Harbor,,0.0,-40.0,,20.0,
48410,West Torrens,6.0,20.0,,-24.0,-2.0,1.0
43790,Loxton Waikerie,,,,,1.0,
43920,Mallala,,,,,7.0,
44550,Mount Barker,13.0,26.0,,,11.0,-1.0
41560,Copper Coast,,,,,8.0,
43650,Light,,,,,8.0,
46090,Port Augusta,,,,,8.0,
46450,Port Pirie,,24.0,,,11.0,
46670,Renmark Paringa,,,,,2.0,
40310,Barossa,-16.0,,,,10.0,-1.0
,Berri Barmera,,,,,2.0,
45290,Norwood Payneham and St Peters,-10.0,30.0,-15.0,,-1.0,3.0
48540,Whyalla,,,,,3.0,0.0
45040,Murray Bridge,-5.0,3.0,,,10.0,
42030,Gawler,8.0,10.0,,-45.0,3.0,0.0
60210,Break O'Day,,,-47.0,,,
60410,Brighton,,40.0,,,16.0,
60610,Burnie,1.0,0.0,,,11.0,
60810,Central Coast,,,-50.0,,9.0,
61410,Clarence,-4.0,33.0,-24.0,-15.0,14.0,2.0
61510,Derwent Valley,,,,,13.0,
61610,Devonport,-12.0,-7.0,,,10.0,2.0
62410,Glamorgan-Spring Bay,,,-44.0,,,
62610,Glenorchy,-5.0,9.0,,,6.0,2.0
62810,Hobart,-10.0,-6.0,-6.0,-19.0,9.0,2.0
63010,Huon Valley,,,,,9.0,
63610,Kingborough,-3.0,,23.0,-21.0,13.0,3.0
23810,Latrobe,,,,,10.0,
64010,Launceston,-6.0,-5.0,-12.0,,15.0,2.0
64210,Meander Valley,-1.0,,,,13.0,
64610,Northern Midlands,,,,-26.0,4.0,
64810,Sorell,,,,,3.0,
65410,Waratah-Wynyard,,,,,20.0,
65810,West Tamar,,,,,9.0,
20110,Alpine,,,,,7.0,
20570,Ballarat,-5.0,6.0,19.0,-34.0,3.0,2.0
20660,Banyule,-10.0,-9.0,34.0,-24.0,-20.0,6.0
20740,Bass Coast,-30.0,-20.0,-58.0,,1.0,3.0
20830,Baw Baw,11.0,-6.0,,,6.0,1.0
21010,Benalla,,,,,11.0,
21110,Boroondara,-17.0,-16.0,16.0,-31.0,-27.0,8.0
21180,Brimbank,-9.0,6.0,20.0,-31.0,-20.0,4.0
21370,Campaspe,-2.0,-5.0,-23.0,,-3.0,1.0
21450,Cardinia,-6.0,5.0,-13.0,5.0,1.0,2.0
21670,Central Goldfields,,,,,8.0,
21610,Casey,-6.0,11.0,12.0,4.0,-4.0,3.0
13340,Hume,-5.0,14.0,8.0,-52.0,-8.0,3.0
23670,Knox,-21.0,3.0,7.0,-10.0,-23.0,5.0
24330,Maribyrnong,-20.0,-11.0,23.0,-38.0,-25.0,9.0
27260,Wyndham,-6.0,22.0,17.0,-39.0,-15.0,7.0
27350,Yarra,-17.0,-8.0,-18.0,-40.0,-37.0,10.0
21750,Colac Otway,-31.0,,-50.0,,-2.0,
21830,Corangamite,,,-72.0,,6.0,
21890,Darebin,-13.0,-8.0,11.0,-31.0,-20.0,8.0
22110,East Gippsland,-14.0,9.0,-5.0,,11.0,1.0
22170,Frankston,-11.0,8.0,24.0,-11.0,-8.0,3.0
22310,Glen Eira,-7.0,-6.0,4.0,-52.0,-22.0,8.0
22410,Glenelg,-9.0,,-44.0,,4.0,
22490,Golden Plains,,,,,-1.0,
22620,Greater Bendigo,1.0,-8.0,-5.0,10.0,-1.0,2.0
22670,Greater Dandenong,-11.0,-12.0,-16.0,-25.0,-17.0,4.0
22750,Greater Geelong,-17.0,-4.0,-20.0,-27.0,-9.0,3.0
22830,Greater Shepparton,-6.0,5.0,-13.0,,5.0,0.0
22910,Hepburn,,,,,4.0,
23110,Hobsons Bay,-9.0,-2.0,-29.0,-34.0,-20.0,6.0
23190,Horsham,,1.0,,,10.0,
23350,Indigo,,,,,8.0,
23430,Kingston,-15.0,15.0,-16.0,-16.0,-15.0,5.0
24130,Macedon Ranges,16.0,-14.0,,-28.0,-7.0,3.0
24210,Manningham,-12.0,3.0,27.0,-22.0,-13.0,6.0
24410,Maroondah,-15.0,4.0,-14.0,-25.0,-17.0,5.0
24600,Melbourne,-37.0,-29.0,-45.0,-46.0,-28.0,11.0
24650,Melton,-3.0,14.0,38.0,-31.0,0.0,3.0
24780,Mildura,-10.0,-1.0,,-16.0,-2.0,0.0
24850,Mitchell,-7.0,-1.0,,-25.0,-1.0,1.0
24900,Moira,,-13.0,,,-4.0,3.0
24970,Monash,-9.0,10.0,34.0,-33.0,-21.0,6.0
25060,Moonee Valley,-2.0,7.0,15.0,-33.0,-22.0,7.0
25150,Moorabool,2.0,,,-33.0,-3.0,2.0
25250,Moreland,-11.0,-3.0,11.0,-40.0,-23.0,8.0
25430,Mount Alexander,,,,,0.0,
25490,Moyne,,,-55.0,,2.0,
25620,Murrindindi,,,,,0.0,
25710,Nillumbik,-13.0,,,-20.0,-11.0,5.0
25810,Northern Grampians,,,-30.0,,4.0,
25900,Port Phillip,-35.0,-22.0,-54.0,-52.0,-36.0,9.0
25340,Mornington Peninsula,-20.0,-13.0,-45.0,-20.0,-2.0,2.0
26170,South Gippsland,-11.0,,-53.0,,4.0,
26260,Southern Grampians,,,,,10.0,
26350,Stonnington,-20.0,13.0,-29.0,-45.0,-33.0,10.0
26490,Surf Coast,-30.0,-36.0,-73.0,,-9.0,
26610,Swan Hill,,,,,-8.0,
26700,Wangaratta,-5.0,-10.0,,,8.0,1.0
26730,Warrnambool,-22.0,-12.0,-48.0,,-1.0,2.0
18150,Wellington,1.0,0.0,-6.0,,3.0,2.0
26980,Whitehorse,-19.0,4.0,2.0,-17.0,-17.0,7.0
27070,Whittlesea,-6.0,5.0,23.0,-22.0,-9.0,4.0
27170,Wodonga,-6.0,7.0,,,3.0,1.0
27450,Yarra Ranges,-14.0,10.0,-12.0,-32.0,-10.0,4.0
50080,Albany,-4.0,9.0,2.0,,14.0,2.0
50210,Armadale,-3.0,-12.0,-21.0,-27.0,-10.0,6.0
50420,Bayswater,-9.0,-1.0,-29.0,-12.0,-15.0,11.0
50490,Belmont,8.0,10.0,-23.0,-32.0,-17.0,9.0
51190,Bunbury,1.0,9.0,-59.0,-52.0,8.0,3.0
51260,Busselton,-20.0,-21.0,-67.0,,2.0,4.0
51330,Canning,-10.0,10.0,-20.0,-32.0,-9.0,10.0
51820,Cockburn,-8.0,-5.0,-44.0,-6.0,-14.0,9.0
53430,Fremantle,-15.0,-20.0,-57.0,-48.0,-19.0,11.0
53780,Gosnells,14.0,13.0,-14.0,-26.0,-6.0,8.0
,Greater Geraldton,6.0,9.0,,-21.0,14.0,1.0
54170,Joondalup,-13.0,5.0,-42.0,-31.0,-20.0,9.0
54200,Kalamunda,4.0,16.0,3.0,-51.0,-7.0,8.0
54280,Kalgoorlie-Boulder,9.0,18.0,,-5.0,10.0,0.0
,Karratha,5.0,,-14.0,-26.0,0.0,3.0
54830,Kwinana,7.0,43.0,,-18.0,-9.0,7.0
55110,Mandurah,2.0,10.0,-31.0,-33.0,-4.0,5.0
55320,Melville,-11.0,4.0,-32.0,-42.0,-14.0,12.0
56580,Nedlands,-16.0,,-26.0,,-20.0,
57080,Perth,-54.0,-30.0,-58.0,-47.0,-30.0,16.0
57490,Rockingham,-6.0,12.0,12.0,-38.0,-8.0,5.0
57840,South Perth,-21.0,,-32.0,-32.0,-25.0,14.0
57910,Stirling,-5.0,13.0,-37.0,-41.0,-23.0,11.0
57980,Subiaco,-16.0,,,-32.0,-31.0,
26610,Swan,0.0,44.0,-33.0,-42.0,-2.0,6.0
58570,Vincent,-24.0,13.0,-25.0,-37.0,-34.0,17.0
58760,Wanneroo,10.0,19.0,-34.0,-33.0,-7.0,7.0
50250,Ashburton,,,21.0,,13.0,
50280,Augusta-Margaret River,,,-64.0,,13.0,
50980,Broome,,,,,31.0,
51400,Capel,,,,,15.0,
52660,Dardanup,-8.0,,,,6.0,
53220,East Pilbara,,,5.0,19.0,2.0,
53290,Esperance,-7.0,,,,13.0,
53990,Harvey,6.0,,,,18.0,2.0
56090,Mundaring,15.0,,,,-3.0,7.0
15500,Murray,,,,,1.0,
56730,Northam,,,,,5.0,
57700,Serpentine-Jarrahdale,,,,,-5.0,5.0
50350,Bassendean,,,,-29.0,-23.0,
51310,Cambridge,-7.0,,-35.0,-51.0,-27.0,
51750,Claremont,-11.0,,,,-20.0,
52170,Cottesloe,,,-57.0,,,
57280,Port Hedland,,,,-20.0,6.0,
58510,Victoria Park,-11.0,15.0,-12.0,-34.0,-29.0,15.0
